,Unnamed: 0,Country Name,Counterpart-Area Name,Series Name,Series Code,Year,Value
177,6068,Ghana,Egypt,"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD,2020,106090000.0
178,6080,Ghana,Egypt,"PS, bilateral (TDS, current US$)",DT.TDS.BLAT.PS.CD,2020,106090000.0
179,6086,Ghana,Egypt,"PS, official creditors (TDS, current US$)",DT.TDS.OFFT.PS.CD,2020,106090000.0
180,6860,Ghana,European Development Fund (EDF),"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2020,1372.6
181,6871,Ghana,European Development Fund (EDF),"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,2020,184388.5
182,6872,Ghana,European Development Fund (EDF),"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,2020,184388.5
183,6876,Ghana,European Development Fund (EDF),"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,2020,184388.5
184,6877,Ghana,European Development Fund (EDF),"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,2020,184388.5
185,6878,Ghana,European Development Fund (EDF),"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2020,184388.5
186,6883,Ghana,European Development Fund (EDF),"GG, multilateral (TDS, current US$)",DT.TDS.MLAT.GG.CD,2020,184388.5
187,6884,Ghana,European Development Fund (EDF),"GG, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.GG.CD,2020,184388.5
188,6885,Ghana,European Development Fund (EDF),"GG, official creditors (TDS, current US$)",DT.TDS.OFFT.GG.CD,2020,184388.5
189,6889,Ghana,European Development Fund (EDF),"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,2020,184388.5
190,6907,Ghana,European Development Fund (EDF),"PPG, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.CD,2020,184388.5
191,6908,Ghana,European Development Fund (EDF),"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD,2020,184388.5
192,6924,Ghana,European Development Fund (EDF),"PS, multilateral (TDS, current US$)",DT.TDS.MLAT.PS.CD,2020,184388.5
193,6925,Ghana,European Development Fund (EDF),"PS, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.PS.CD,2020,184388.5
194,6926,Ghana,European Development Fund (EDF),"PS, official creditors (TDS, current US$)",DT.TDS.OFFT.PS.CD,2020,184388.5
195,7070,Ghana,European Investment Bank,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2020,698580.1
196,7081,Ghana,European Investment Bank,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,2020,5903686.6
197,7082,Ghana,European Investment Bank,"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,2020,5903686.6
198,7086,Ghana,European Investment Bank,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,2020,5903686.6
199,7087,Ghana,European Investment Bank,"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,2020,5903686.6
200,7088,Ghana,European Investment Bank,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2020,5903686.6
201,7093,Ghana,European Investment Bank,"GG, multilateral (TDS, current US$)",DT.TDS.MLAT.GG.CD,2020,5903686.6
202,7095,Ghana,European Investment Bank,"GG, official creditors (TDS, current US$)",DT.TDS.OFFT.GG.CD,2020,5903686.6
203,7099,Ghana,European Investment Bank,"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,2020,5903686.6
204,7118,Ghana,European Investment Bank,"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD,2020,5903686.6
